Date,USD (PM),value,ma5
2009/12/16,1324.6,1324.6,
9/13/16,1323.65,1324.6,
9/14/16,1321.75,1323.65,
9/15/16,1310.8,1321.75,
9/16/16,1308.35,1310.8,1321.08
9/19/16,1314.85,1308.35,1317.83
9/20/16,1313.8,1308.35,1314.58
9/21/16,1326.1,1308.35,1311.52
9/22/16,1339.1,1314.85,1310.14
9/23/16,1338.65,1313.8,1310.74
9/26/16,1340.5,1326.1,1314.29
9/27/16,1327,1339.1,1320.44
9/28/16,1322.5,1338.65,1326.5
9/29/16,1318.1,1338.65,1331.26
9/30/16,1322.5,1338.65,1336.23
2010/3/16,1313.3,1340.5,1339.11
2010/4/16,1283.3,1327,1336.69
2010/5/16,1269.4,1322.5,1333.46
2010/6/16,1254.5,1318.1,1329.35
2010/7/16,1258.75,1322.5,1326.12
2010/10/16,1259.5,1322.5,1322.52
2010/11/16,1253.45,1322.5,1321.62
2010/12/16,1256.5,1313.3,1319.78
10/13/16,1261.05,1283.3,1312.82
10/14/16,1251.75,1269.4,1302.2
10/17/16,1254.8,1254.5,1288.6
10/18/16,1258.2,1258.75,1275.85
10/19/16,1269.05,1258.75,1264.94
10/20/16,1271.65,1258.75,1260.03
10/21/16,1266.05,1259.5,1258.05
10/24/16,1265.55,1253.45,1257.84
10/25/16,1269.4,1256.5,1257.39
10/26/16,1270.5,1261.05,1257.85
10/27/16,1266.25,1251.75,1256.45
10/28/16,1273,1251.75,1254.9
10/31/16,1272,1251.75,1254.56
2011/1/16,1288.45,1254.8,1254.22
2011/2/16,1303.75,1258.2,1253.65
2011/3/16,1301,1269.05,1257.11
2011/4/16,1302.8,1271.65,1261.09
2011/7/16,1283.05,1266.05,1263.95
2011/8/16,1282.35,1266.05,1266.2
2011/9/16,1281.4,1266.05,1267.77
2011/10/16,1267.5,1265.55,1267.07
2011/11/16,1236.45,1269.4,1266.62
11/14/16,1213.6,1270.5,1267.51
11/15/16,1226.95,1266.25,1267.55
11/16/16,1229.2,1273,1268.94
11/17/16,1226.75,1273,1270.43
11/18/16,1211,1273,1271.15
11/21/16,1214.25,1272,1271.45
11/22/16,1212.25,1288.45,1275.89
11/23/16,1185.35,1303.75,1282.04
11/24/16,1186.1,1301,1287.64
11/25/16,1187.7,1302.8,1293.6
11/28/16,1187,1302.8,1299.76
11/29/16,1186.55,1302.8,1302.63
11/30/16,1178.1,1283.05,1298.49
2012/1/16,1161.85,1282.35,1294.76
2012/2/16,1173.5,1281.4,1290.48
2012/5/16,1162.2,1267.5,1283.42
2012/6/16,1172.5,1236.45,1270.15
2012/7/16,1177.65,1236.45,1260.83
2012/8/16,1171.05,1236.45,1251.65
2012/9/16,1163.6,1213.6,1238.09
2012/12/16,1156.1,1226.95,1229.98
12/13/16,1158.55,1229.2,1228.53
12/14/16,1162.25,1226.75,1226.59
12/15/16,1126.95,1211,1221.5
12/16/16,1131.6,1211,1220.98
12/19/16,1136.25,1211,1217.79
12/20/16,1125.7,1214.25,1214.8
12/21/16,1133.65,1212.25,1211.9
12/22/16,1131.35,1185.35,1206.77
12/23/16,,1186.1,1201.79
12/28/16,1134.6,1187.7,1197.13
12/29/16,1145.9,1187.7,1191.82
12/30/16,,1187.7,1186.91
2001/3/17,1151,1187,1187.24
2001/4/17,1164.25,1186.55,1187.33
2001/5/17,1176.7,1178.1,1185.41
2001/6/17,1175.85,1161.85,1180.24
2001/9/17,1178.5,1173.5,1177.4
2001/10/17,1189.5,1173.5,1174.7
2001/11/17,1178.55,1173.5,1172.09
2001/12/17,1205.05,1162.2,1168.91
1/13/17,1190.35,1172.5,1171.04
1/16/17,1203,1177.65,1171.87
1/17/17,1216.05,1171.05,1171.38
1/18/17,1214.75,1163.6,1169.4
1/19/17,1196.05,1163.6,1169.68
1/20/17,1200.55,1163.6,1167.9
1/23/17,1212.85,1156.1,1163.59
1/24/17,1216.8,1158.55,1161.09
1/25/17,1195,1162.25,1160.82
1/26/17,1189.7,1126.95,1153.49
1/27/17,1184.85,1131.6,1147.09
1/30/17,1192.8,1131.6,1142.19
1/31/17,1212.8,1131.6,1136.8
2002/1/17,1203.65,1136.25,1131.6
2002/2/17,1221.95,1125.7,1131.35
2002/3/17,1215.2,1133.65,1131.76
2002/6/17,1226.75,1131.35,1131.71
2002/7/17,1231,1131.35,1131.66
2002/8/17,1242.1,1131.35,1130.68
2002/9/17,1236.8,1131.35,1131.81
2002/10/17,1228.3,1131.35,1131.35
2/13/17,1222.25,1131.35,1131.35
2/14/17,1230.75,1134.6,1132
2/15/17,1224.4,1145.9,1134.91
2/16/17,1240.55,1145.9,1137.82
2/17/17,1241.95,1145.9,1140.73
2/20/17,1237.3,1145.9,1143.64
2/21/17,1233.2,1145.9,1145.9
2/22/17,1236.65,1151,1146.92
2/23/17,1247.9,1164.25,1150.59
2/24/17,1253.65,1176.7,1156.75
2/27/17,1257.2,1175.85,1162.74
2/28/17,1255.6,1175.85,1168.73
2003/1/17,1240.4,1175.85,1173.7
2003/2/17,1238.1,1178.5,1176.55
2003/3/17,1226.5,1189.5,1179.11
2003/6/17,1230.95,1178.55,1179.65
2003/7/17,1216.65,1205.05,1185.49
2003/8/17,1209.2,1190.35,1188.39
2003/9/17,1206.55,1190.35,1190.76
2003/10/17,1202.65,1190.35,1190.93
3/13/17,1204.2,1203,1195.82
3/14/17,1204.6,1216.05,1198.02
3/15/17,1198.8,1214.75,1202.9
3/16/17,1229.35,1196.05,1204.04
3/17/17,1229.6,1200.55,1206.08
3/20/17,1232.4,1200.55,1205.59
3/21/17,1241.6,1200.55,1202.49
3/22/17,1249.05,1212.85,1202.11
3/23/17,1247.5,1216.8,1206.26
3/24/17,1247.5,1195,1205.15
3/27/17,1257.55,1189.7,1202.98
3/28/17,1257.25,1184.85,1199.84
3/29/17,1251.1,1184.85,1194.24
3/30/17,1248.8,1184.85,1187.85
3/31/17,1244.85,1192.8,1187.41
2004/3/17,1247.25,1212.8,1192.03
2004/4/17,1257.65,1203.65,1195.79
2004/5/17,1245.8,1221.95,1203.21
2004/6/17,1252.5,1215.2,1209.28
2004/7/17,1266.45,1215.2,1213.76
2004/10/17,1250.05,1215.2,1214.24
2004/11/17,1252.9,1226.75,1218.86
2004/12/17,1274.3,1231,1220.67
4/13/17,1284.15,1242.1,1226.05
4/18/17,1278.95,1236.8,1230.37
4/19/17,1279.05,1228.3,1232.99
4/20/17,1282.1,1228.3,1233.3
4/21/17,1281.85,1228.3,1232.76
4/24/17,1269.4,1222.25,1228.79
4/25/17,1267.8,1230.75,1227.58
4/26/17,1261.85,1224.4,1226.8
4/27/17,1262.8,1240.55,1229.25
4/28/17,1266.45,1241.95,1231.98
2005/2/17,1255.45,1241.95,1235.92
2005/3/17,1250.3,1241.95,1238.16
2005/4/17,1228.45,1237.3,1240.74
2005/5/17,1228.05,1233.2,1239.27
2005/8/17,1229.8,1236.65,1238.21
2005/9/17,1220.4,1247.9,1239.4
2005/10/17,1222.95,1253.65,1241.74
2005/11/17,1223.15,1253.65,1245.01
2005/12/17,1231.25,1253.65,1249.1
5/15/17,1233.3,1257.2,1253.21
5/16/17,1234.2,1255.6,1254.75
5/17/17,1257.4,1240.4,1252.1
5/18/17,1255.9,1238.1,1248.99
5/19/17,1252,1226.5,1243.56
5/22/17,1258.85,1226.5,1237.42
5/23/17,1260.2,1226.5,1231.6
5/24/17,1252.55,1230.95,1229.71
5/25/17,1256.95,1216.65,1225.42
5/26/17,1265.05,1209.2,1221.96
5/30/17,1262.7,1206.55,1217.97
5/31/17,1266.2,1202.65,1213.2
2006/1/17,1264.85,1202.65,1207.54
2006/2/17,1274.95,1202.65,1204.74
2006/5/17,1279.95,1204.2,1203.74
2006/6/17,1293.5,1204.6,1203.35
2006/7/17,1291,1198.8,1202.58
2006/8/17,1273.1,1229.35,1207.92
2006/9/17,1266.55,1229.6,1213.31
2006/12/17,1266.4,1229.6,1218.39
6/13/17,1262,1229.6,1223.39
6/14/17,1275.5,1232.4,1230.11
6/15/17,1254.55,1241.6,1232.56
6/16/17,1255.4,1249.05,1236.45
6/19/17,1248.15,1247.5,1240.03
6/20/17,1242.2,1247.5,1243.61
6/21/17,1242.5,1247.5,1246.63
6/22/17,1250.8,1247.5,1247.81
6/23/17,1255.7,1257.55,1249.51
6/26/17,1245.25,1257.25,1251.46
6/27/17,1249.55,1251.1,1252.18
6/28/17,1248,1248.8,1252.44
6/29/17,1243.5,1244.85,1251.91
6/30/17,1242.25,1244.85,1249.37
2007/3/17,1229.25,1244.85,1246.89
2007/4/17,1223.75,1247.25,1246.12
2007/5/17,1220.3,1257.65,1247.89
2007/6/17,1224.9,1245.8,1248.08
2007/7/17,1215.65,1252.5,1249.61
2007/10/17,1211.9,1266.45,1253.93
2007/11/17,1211.05,1266.45,1257.77
2007/12/17,1218.8,1266.45,1259.53
7/13/17,1218.9,1250.05,1260.38
7/14/17,1230.3,1252.9,1260.46
7/17/17,1234.1,1274.3,1262.03
7/18/17,1240.75,1284.15,1265.57
7/19/17,1242.15,1284.15,1269.11
7/20/17,1238.7,1284.15,1275.93
7/21/17,1248.55,1284.15,1282.18
7/24/17,1255.55,1284.15,1284.15
7/25/17,1254.4,1278.95,1283.11
7/26/17,1248.1,1279.05,1282.09
7/27/17,1261.1,1282.1,1281.68
7/28/17,1264.9,1281.85,1281.22
7/31/17,1267.55,1281.85,1280.76
2008/1/17,1270.95,1281.85,1281.34
2008/2/17,1269.6,1269.4,1279.41
2008/3/17,1268.1,1267.8,1276.55
2008/4/17,1257.7,1261.85,1272.55
2008/7/17,1258,1262.8,1268.74
2008/8/17,1261.8,1266.45,1265.66
2008/9/17,1271.05,1266.45,1265.07
2008/10/17,1284.4,1266.45,1264.8
2008/11/17,1286.1,1266.45,1265.72
8/14/17,1282.3,1255.45,1264.25
8/15/17,1270.3,1250.3,1261.02
8/16/17,1272.75,1228.45,1253.42
8/17/17,1285.15,1228.05,1245.74
8/18/17,1295.8,1228.05,1238.06
8/21/17,1292.9,1228.05,1232.58
8/22/17,1284.2,1229.8,1228.48
8/23/17,1286.65,1220.4,1226.87
8/24/17,1289,1222.95,1225.85
8/25/17,1285.3,1223.15,1224.87
8/29/17,1318.65,1231.25,1225.51
8/30/17,1308.5,1231.25,1225.8
8/31/17,1311.75,1231.25,1227.97
2009/1/17,1320.4,1233.3,1230.04
2009/4/17,1333.1,1234.2,1232.25
2009/5/17,1335.55,1257.4,1237.48
2009/6/17,1337.85,1255.9,1242.41
2009/7/17,1343.5,1252,1246.56
2009/8/17,1346.25,1252,1250.3
2009/11/17,1334.2,1252,1253.86
2009/12/17,1326.5,1258.85,1254.15
9/13/17,1327.55,1260.2,1255.01
9/14/17,1324.55,1252.55,1255.12
9/15/17,1322.85,1256.95,1256.11
9/18/17,1312.1,1265.05,1258.72
9/19/17,1309.6,1265.05,1259.96
9/20/17,1311.3,1265.05,1260.93
9/21/17,1292.1,1265.05,1263.43
9/22/17,1294.8,1262.7,1264.58
9/25/17,1293.3,1266.2,1264.81
9/26/17,1300.05,1264.85,1264.77
9/27/17,1282.55,1274.95,1266.75
9/28/17,1283.35,1274.95,1268.73
9/29/17,1283.1,1274.95,1271.18
2010/2/17,1273.7,1279.95,1273.93
2010/3/17,1271.25,1293.5,1279.66
2010/4/17,1274.25,1291,1282.87
2010/5/17,1274.5,1273.1,1282.5
2010/6/17,1261.8,1266.55,1280.82
2010/9/17,1278.75,1266.55,1278.14
2010/10/17,1291.4,1266.55,1272.75
2010/11/17,1289.25,1266.4,1267.83
2010/12/17,1290.25,1262,1265.61
10/13/17,1299.6,1275.5,1267.4
10/16/17,1303.3,1254.55,1265
10/17/17,1284.75,1255.4,1262.77
10/18/17,1280.2,1255.4,1260.57
10/19/17,1286.4,1255.4,1259.25
10/20/17,1281.2,1248.15,1253.78
10/23/17,1274.9,1242.2,1251.31
10/24/17,1276.45,1242.5,1248.73
10/25/17,1275,1250.8,1247.81
10/26/17,1273.75,1255.7,1247.87
10/27/17,1266.45,1255.7,1249.38
10/30/17,1272,1255.7,1252.08
10/31/17,1270.15,1245.25,1252.63
2011/1/17,1277.05,1249.55,1252.38
2011/2/17,1279.2,1248,1250.84
2011/3/17,1267.2,1243.5,1248.4
2011/6/17,1270.9,1242.25,1245.71
2011/7/17,1275.6,1242.25,1245.11
2011/8/17,1284,1242.25,1243.65
2011/9/17,1284.8,1229.25,1239.9
2011/10/17,1284.3,1223.75,1235.95
11/13/17,1277.95,1220.3,1231.56
11/14/17,1274.6,1224.9,1228.09
11/15/17,1282.2,1215.65,1222.77
11/16/17,1280,1215.65,1220.05
11/17/17,1284.35,1215.65,1218.43
11/20/17,1286.2,1211.9,1216.75
11/21/17,1283.3,1211.05,1213.98
11/22/17,1286.95,1218.8,1214.61
11/23/17,1290.35,1218.9,1215.26
11/24/17,1290.5,1230.3,1218.19
11/27/17,1294.9,1230.3,1221.87
11/28/17,1291.85,1230.3,1225.72
11/29/17,1283.85,1234.1,1228.78
11/30/17,1280.2,1240.75,1233.15
2012/1/17,1275.5,1242.15,1235.52
2012/4/17,1273.45,1238.7,1237.2
2012/5/17,1266.3,1248.55,1240.85
2012/6/17,1263.7,1248.55,1243.74
2012/7/17,1255,1248.55,1245.3
2012/8/17,1250.65,1255.55,1247.98
2012/11/17,1247.15,1254.4,1251.12
2012/12/17,1240.9,1248.1,1251.03
12/13/17,1242.65,1261.1,1253.54
12/14/17,1251,1264.9,1256.81
12/15/17,1254.6,1264.9,1258.68
12/18/17,1260.6,1264.9,1260.78
12/19/17,1260.35,1267.55,1264.67
12/20/17,1264.55,1270.95,1266.64
12/21/17,1264.55,1269.6,1267.58
12/22/17,,1268.1,1268.22
12/27/17,1279.4,1257.7,1266.78
12/28/17,1291,1257.7,1264.81
12/29/17,,1257.7,1262.16
2001/2/18,1312.05,1258,1259.84
2001/3/18,1314.9,1261.8,1258.58
2001/4/18,1314.5,1271.05,1261.25
2001/5/18,1317.15,1284.4,1266.59
2001/8/18,1319.95,1286.1,1272.27
2001/9/18,1311,1286.1,1277.89
2001/10/18,1319.75,1286.1,1282.75
2001/11/18,1323.05,1282.3,1285
2001/12/18,1326.8,1270.3,1282.18
1/15/18,1339.25,1272.75,1279.51
1/16/18,1333.85,1285.15,1279.32
1/17/18,1335.65,1295.8,1281.26
1/18/18,1332.2,1295.8,1283.96
1/19/18,1334.95,1295.8,1289.06
1/22/18,1332.6,1292.9,1293.09
1/23/18,1333.4,1284.2,1292.9
1/24/18,1353.7,1286.65,1291.07
1/25/18,1354.95,1289,1289.71
1/26/18,1353.15,1285.3,1287.61
1/29/18,1343.85,1285.3,1286.09
1/30/18,1344.9,1285.3,1286.31
1/31/18,1345.05,1285.3,1286.04
2002/1/18,1341.35,1318.65,1291.97
2002/2/18,1331.15,1308.5,1296.61
2002/5/18,1333.6,1311.75,1301.9
2002/6/18,1331.4,1320.4,1308.92
2002/7/18,1324.65,1320.4,1315.94
2002/8/18,1315.45,1320.4,1316.29
2002/9/18,1314.1,1333.1,1321.21
2002/12/18,1322.3,1335.55,1325.97
2/13/18,1325.35,1337.85,1329.46
2/14/18,1336.25,1343.5,1334.08
2/15/18,1352.45,1346.25,1339.25
2/16/18,1352.1,1346.25,1341.88
2/19/18,1346.6,1346.25,1344.02
2/20/18,1339.85,1334.2,1343.29
2/21/18,1330.5,1326.5,1339.89
2/22/18,1328.35,1327.55,1336.15
2/23/18,1327.95,1324.55,1331.81
2/26/18,1333.5,1322.85,1327.13
2/27/18,1325.75,1322.85,1324.86
2/28/18,1317.85,1322.85,1324.13
2003/1/18,1307.75,1312.1,1321.04
2003/2/18,1322.3,1309.6,1318.05
2003/5/18,1320.4,1311.3,1315.74
2003/6/18,1331.4,1292.1,1309.59
2003/7/18,1329.4,1294.8,1303.98
2003/8/18,1321,1294.8,1300.52
2003/9/18,1320.6,1294.8,1297.56
2003/12/18,1319.15,1293.3,1293.96
3/13/18,1322.75,1300.05,1295.55
3/14/18,1323.55,1282.55,1293.1
3/15/18,1318.75,1283.35,1290.81
3/16/18,1310.1,1283.1,1288.47
3/19/18,1312.4,1283.1,1286.43
3/20/18,1311,1283.1,1283.04
3/21/18,1321.35,1273.7,1281.27
3/22/18,1329.15,1271.25,1278.85
3/23/18,1346.6,1274.25,1277.08
3/26/18,1352.4,1274.5,1275.36
3/27/18,1341.45,1261.8,1271.1
3/28/18,1332.45,1261.8,1268.72
3/29/18,1323.85,1261.8,1266.83
2004/3/18,1333.45,1278.75,1267.73
2004/4/18,1337.3,1291.4,1271.11
2004/5/18,1327.7,1289.25,1276.6
2004/6/18,1331.2,1290.25,1282.29
2004/9/18,1331.95,1299.6,1289.85
2004/10/18,1338.95,1299.6,1294.02
2004/11/18,1350.75,1299.6,1295.66
2004/12/18,1341.35,1303.3,1298.47
4/13/18,1343.7,1284.75,1297.37
4/16/18,1349.35,1280.2,1293.49
4/17/18,1342.1,1286.4,1290.85
4/18/18,1351.45,1281.2,1287.17
4/19/18,1348.6,1281.2,1282.75
4/20/18,1336.75,1281.2,1282.04
4/23/18,1324.3,1274.9,1280.98
4/24/18,1328.85,1276.45,1278.99
4/25/18,1321.65,1275,1277.75
4/26/18,1320.7,1273.75,1276.26
4/27/18,1321.5,1266.45,1273.31
4/30/18,1313.2,1266.45,1271.62
2005/1/18,1307.1,1266.45,1269.62
2005/2/18,1304.2,1272,1269.02
2005/3/18,1315.05,1270.15,1268.3
2005/4/18,1309.4,1277.05,1270.42
2005/8/18,1306.6,1279.2,1272.97
2005/9/18,1313.85,1267.2,1273.12
2005/10/18,1318.8,1267.2,1272.16
2005/11/18,1324.35,1267.2,1271.57
5/14/18,1319.85,1270.9,1270.34
5/15/18,1295,1275.6,1269.62
5/16/18,1291.25,1284,1272.98
5/17/18,1289.5,1284.8,1276.5
5/18/18,1288.3,1284.3,1279.92
5/21/18,1288.35,1284.3,1282.6
5/22/18,1293.05,1284.3,1284.34
5/23/18,1289,1277.95,1283.13
5/24/18,1304.85,1274.6,1281.09
5/25/18,1303.5,1282.2,1280.67
5/29/18,1295.5,1280,1279.81
5/30/18,1300.7,1284.35,1279.82
5/31/18,1305.35,1284.35,1281.1
2006/1/18,1294.6,1284.35,1283.05
2006/4/18,1295.45,1286.2,1283.85
2006/5/18,1292.05,1283.3,1284.51
2006/6/18,1300.1,1286.95,1285.03
2006/7/18,1297.25,1290.35,1286.23
2006/8/18,1298.25,1290.5,1287.46
2006/11/18,1299.6,1290.5,1288.32
2006/12/18,1298.65,1290.5,1289.76
6/13/18,1296.15,1294.9,1291.35
6/14/18,1302.75,1291.85,1291.65
6/15/18,1285.25,1283.85,1290.32
6/18/18,1281.55,1280.2,1288.26
6/19/18,1276.15,1275.5,1285.26
6/20/18,1274.2,1275.5,1281.38
6/21/18,1266.15,1275.5,1278.11
6/22/18,1269.15,1273.45,1276.03
6/25/18,1268.7,1266.3,1273.25
6/26/18,1260.3,1263.7,1270.89
6/27/18,1254.6,1255,1266.79
6/28/18,1251.55,1250.65,1261.82
6/29/18,1250.45,1250.65,1257.26
2007/2/18,1247.8,1250.65,1254.13
2007/3/18,1251.75,1247.15,1250.82
2007/4/18,1255.65,1240.9,1248
2007/5/18,1255.5,1242.65,1246.4
2007/6/18,1255.35,1251,1246.47
2007/9/18,1262.05,1254.6,1247.26
2007/10/18,1254,1254.6,1248.75
2007/11/18,1251.4,1254.6,1251.49
2007/12/18,1245.9,1260.6,1255.08
7/13/18,1241.7,1260.35,1256.95
7/16/18,1241.1,1264.55,1258.94
7/17/18,1232.8,1264.55,1260.93
7/18/18,1224.5,1264.55,1262.92
7/19/18,1217.55,1264.55,1263.71
7/20/18,1228.75,1264.55,1264.55
7/23/18,1224.95,1264.55,1264.55
7/24/18,1228.35,1264.55,1264.55
7/25/18,1231.5,1279.4,1267.52
7/26/18,1228.25,1291,1272.81
7/27/18,1223.95,1291,1278.1
7/30/18,1223.8,1291,1283.39
7/31/18,1220.95,1291,1288.68
2008/1/18,1219,1291,1291
2008/2/18,1215.45,1312.05,1295.21
2008/3/18,1216.3,1314.9,1299.99
2008/6/18,1209.65,1314.5,1304.69
2008/7/18,1212.35,1317.15,1309.92
2008/8/18,1209.55,1317.15,1315.15
2008/9/18,1214.35,1317.15,1316.17
2008/10/18,1214.4,1319.95,1317.18
8/13/18,1200.35,1311,1316.48
8/14/18,1197,1319.75,1317
8/15/18,1182,1323.05,1318.18
8/16/18,1180.4,1326.8,1320.11
8/17/18,1178.4,1326.8,1321.48
8/20/18,1184.35,1326.8,1324.64
8/21/18,1190.95,1339.25,1328.54
8/22/18,1196.65,1333.85,1330.7
8/23/18,1192.35,1335.65,1332.47
8/24/18,1197.7,1332.2,1333.55
8/28/18,1212.25,1334.95,1335.18
8/29/18,1204.2,1334.95,1334.32
8/30/18,1197.3,1334.95,1334.54
8/31/18,1202.45,1332.6,1333.93
2009/3/18,1200.05,1333.4,1334.17
2009/4/18,1190.85,1353.7,1337.92
2009/5/18,1196.7,1354.95,1341.92
2009/6/18,1205.15,1353.15,1345.56
2009/7/18,1198.9,1353.15,1349.67
2009/10/18,1196.6,1353.15,1353.62
2009/11/18,1189.85,1343.85,1351.65
2009/12/18,1195.6,1344.9,1349.64
9/13/18,1209.8,1345.05,1348.02
9/14/18,1201.95,1341.35,1345.66
9/17/18,1201.9,1331.15,1341.26
9/18/18,1200.2,1331.15,1338.72
9/19/18,1203.3,1331.15,1335.97
9/20/18,1208.35,1333.6,1333.68
9/21/18,1198.7,1331.4,1331.69
9/24/18,1202.75,1324.65,1330.39
9/25/18,1201.9,1315.45,1327.25
9/26/18,1194.25,1314.1,1323.84
9/27/18,1185.4,1314.1,1319.94
9/28/18,1187.25,1314.1,1316.48
2010/1/18,1189.35,1322.3,1316.01
2010/2/18,1204.7,1325.35,1317.99
2010/3/18,1201.2,1336.25,1322.42
2010/4/18,1203.45,1352.45,1330.09
2010/5/18,1203.8,1352.1,1337.69
2010/8/18,1186.95,1352.1,1343.65
2010/9/18,1185.55,1352.1,1349
2010/10/18,1188.6,1346.6,1351.07
